gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9336902;;6907;4;1;5;4;;Rue Boulanger;False;6477;22885;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;41,04524072
9336666;;6735;4;1;5;4;;Rue Bense;False;26811;12975;1;1995-01-25 00:00:00+01:00;2013-04-24 00:00:00+02:00;56,25299834
9344179;;50531;4;1;5;64;;Quai Lawton;False;22626;8696;1;2016-09-21 00:00:00+02:00;2020-11-03 00:00:00+01:00;545,6537259
9342162;;10667;4;1;3;2;;Cours Saint Louis;False;26935;21647;1;2006-10-02 00:00:00+02:00;2015-04-16 00:00:00+02:00;464,9077298
9339259;;8604;4;1;5;4;;Rue du Jardin Public;False;13758;9831;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;208,4277968
9338164;;22180;4;1;4;3;;Cours Edouard Vaillant;False;9574;7140;1;1995-01-26 00:00:00+01:00;2015-08-05 00:00:00+02:00;999,6703255
9342037;;62213;5;1;5;4;;Cité Roger Lorentz;False;6609;10433;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;33,95998801
9337658;;7431;4;1;5;4;;Rue Commandant Hautreux;False;19156;26554;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;312,6563709
9344183;;52903;5;1;10;99;;Square Etienne Morin;False;16066;22418;1;2019-05-07 00:00:00+02:00;2019-05-07 00:00:00+02:00;72,79288992
9340054;;9139;4;1;5;3;;Rue de Leybardie;False;11626;23352;1;1995-01-25 00:00:00+01:00;2022-04-26 00:00:00+02:00;357,3357316
